z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,O2,H2O,H,O,OH,HO2,H2O2,N2 
0.010924804687499998,12.818584720423026,0.0,1879.5165682916374,0.1522134463696701,0.0033496246677502395,0.029074473959047352,0.20547502209803187,0.0010779556632473145,0.0046034495733603955,0.011364304623048344,1.1035180266106863e-05,7.80491590351328e-06,0.7450363293145372
0.010927734374999998,12.832329476719073,0.0,1881.757362406424,0.15205040997545613,0.0033455803152992757,0.028982916634679508,0.20558390622408534,0.001072171652038621,0.00458459930966045,0.011374260236900956,1.0969093310060134e-05,7.735524000137275e-06,0.7450378610052143
0.010930664062499998,12.845933020381915,0.0,1883.976301335378,0.15188939213505032,0.003341557238761473,0.028892524979253285,0.2056918246971658,0.001066447712576576,0.004565871124627688,0.011383862063495906,1.0903917953670354e-05,7.666976775775014e-06,0.7450393412845748
0.010933593749999998,12.85939763161,0.0,1886.1737234817197,0.1517303542333367,0.0033375542457832743,0.028803263519749135,0.20579880312037416,0.0010607830749046632,0.004547265200523293,0.01139311944576118,1.083963244602013e-05,7.59926816201263e-06,0.7450407724874775
0.010936523437499998,12.8727255323306,0.0,1888.3499589922835,0.15157325874533908,0.0033335702348539797,0.02871509854450121,0.2059048657763005,0.001055176972192844,0.004528781641649882,0.011402041413050701,1.0776215915013753e-05,7.532391717844009e-06,0.7450421568049956
0.010939453124999998,12.885918887605245,0.0,1890.5053299448432,0.15141806920301615,0.0033296041891227933,0.02862799800838445,0.20601003570227525,0.0010496286414524339,0.004510420480039619,0.011410636693898938,1.071364832075976e-05,7.466340668560559e-06,0.7450434962910111
0.010942382812499998,12.898979806959797,0.0,1892.640150525125,0.15126475016367608,0.0033256551706530102,0.02854193144370027,0.20611433476023505,0.001044137324172246,0.004492181680972623,0.011418913728703803,1.065191041143607e-05,7.401107941810497e-06,0.74504479286838
0.010945312499999998,12.911910345638747,0.0,1894.7547271934427,0.1511132671799679,0.0033217223150905986,0.028456869876407154,0.206217783701405,0.0010387022668801545,0.004474065148354084,0.011426880682443435,1.0590983681120675e-05,7.336686200428977e-06,0.7450460483347046
0.010948242187499999,12.92471250578448,0.0,1896.8493588408055,0.1509635867714119,0.003317804826726988,0.028372785747351376,0.20632040222595815,0.0010333227216335304,0.004456070729980689,0.011434545457557068,1.0530850328942425e-05,7.273067871119603e-06,0.745047264367755
0.010951171874999999,12.937388237539578,0.0,1898.924336934238,0.15081567639744056,0.0033139019739384422,0.02828965283815222,0.2064222090377705,0.0010279979464413679,0.004438198222729356,0.011441915707155751,1.0471493218755805e-05,7.2102451670919286e-06,0.7450484425305858
0.010954101562499999,12.949939440071738,0.0,1900.9799456509418,0.15066950443193003,0.003310013084987027,0.028207446201396553,0.20652322189433306,0.0010227272056201203,0.004420447377704369,0.011448998848769017,1.0412895838425244e-05,7.148210100940644e-06,0.7450495842764061
0.010957031249999999,12.962367962518961,0.0,1903.0164620007656,0.15052504013921328,0.0033061375441713592,0.0281261420947861,0.20662345765183274,0.0010175097700845753,0.004402817905381439,0.011455802078887375,1.0355042257866912e-05,7.08695448065271e-06,0.7450506909532698
0.010959960937499999,12.974675604851807,0.0,1905.03415593627,0.15038225365157737,0.003302274788318124,0.028045717918868993,0.206722932305336,0.0010123449175739583,0.004385309480790115,0.01146233238862891,1.0297917085597934e-05,7.026469875289361e-06,0.7450517638086713
0.010962890624999999,12.986864118647766,0.0,1907.0332904494344,0.15024111594826395,0.0032984243036093958,0.027966152157964896,0.20682166102393668,0.0010072319328126222,0.004367921748779024,0.011468596580944655,1.0241505425497186e-05,6.966747525051776e-06,0.745052803994147
